Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
Mercantile Ventures Limited,MERCANTILE.NS,2026-04-20,2026,NSE Main Board,23.97,,,🟢 Trading Active
Mercury Ev-Tech Limited,MERCURYEV.NS,2026-06-02,2026,NSE Main Board,35.13,,,🟢 Trading Active
Metroglobal Limited,METROGLOBL.NS,2026-04-20,2026,NSE Main Board,149.94,,,🟢 Trading Active
Milkfood Limited,MLKFOOD.NS,2026-08-17,2026,NSE Main Board,77.61,,,🟢 Trading Active
Milky Mist Dairy Food Limited,MILKYMIST.NS,2026-08-18,2026,NSE Main Board,181.5,,,🟢 Trading Active
Minal Industries Limited,MINALIND.NS,2026-08-17,2026,NSE Main Board,2.08,,,🟢 Trading Active
Mohite Industries Limited,MOHITE.NS,2026-08-17,2026,NSE Main Board,2.45,,,🟢 Trading Active
Molbio Diagnostics Limited,MOLBIO.NS,2026-08-17,2026,NSE Main Board,1110.9,,,🟢 Trading Active
Mukesh Babu Financial Services Limited,MUKESHB.NS,2026-08-17,2026,NSE Main Board,145.0,,,🟢 Trading Active
Mysore Petro Chemicals Limited,MYSORPETRO.NS,2026-08-17,2026,NSE Main Board,114.93,,,🟢 Trading Active
NTC Industries Limited,NTCIND.NS,2026-08-17,2026,NSE Main Board,142.17,,,🟢 Trading Active
National Standard (India) Limited,NATIONSTD.NS,2026-04-20,2026,NSE Main Board,134.0,,,🟢 Trading Active
Neelamalai Agro Industries Limited,NEAGI.NS,2026-04-20,2026,NSE Main Board,3325.2,,,🟢 Trading Active
Nicco Parks & Resorts Limited,NICCOPAR.NS,2026-08-17,2026,NSE Main Board,75.25,,,🟢 Trading Active
Nile Limited,NILE.NS,2026-04-20,2026,NSE Main Board,1525.9,,,🟢 Trading Active
Nimbus Projects Limited,NIMBSPROJ.NS,2026-04-06,2026,NSE Main Board,179.44,,,🟢 Trading Active
Nirlon Limited,NIRLON.NS,2026-04-20,2026,NSE Main Board,621.9,,,🟢 Trading Active
Nitta Gelatin India Limited,NITTAGELA.NS,2026-04-20,2026,NSE Main Board,1599.8,,,🟢 Trading Active
Novartis India Limited,NOVARTIND.NS,2026-04-20,2026,NSE Main Board,1596.5,,,🟢 Trading Active
Odyssey Corporation Limited,ODYCORP.NS,2026-08-17,2026,NSE Main Board,6.78,,,🟢 Trading Active
Om Power Transmission Limited,OMPOWER.NS,2026-04-17,2026,NSE Main Board,167.64,,,🟢 Trading Active
Omnitech Engineering Limited,OMNI.NS,2026-03-05,2026,NSE Main Board,581.6,,,🟢 Trading Active
OnEMI Technology Solutions Limited,KISSHT.NS,2026-05-08,2026,NSE Main Board,302.55,,,🟢 Trading Active
One Global Service Provider Limited,ONEGLOBAL.NS,2026-08-17,2026,NSE Main Board,537.05,,,🟢 Trading Active
Onix Solar Energy Limited,ONIXSOLAR.NS,2026-08-17,2026,NSE Main Board,356.65,,,🟢 Trading Active
Optimus Finance Limited,OPTIFIN.NS,2026-08-17,2026,NSE Main Board,11.76,,,🟢 Trading Active
Oriental Rail Infrastructure Limited,ORIRAIL.NS,2026-08-17,2026,NSE Main Board,107.73,,,🟢 Trading Active
PBM Polytex Limited,PBMPOLY.NS,2026-08-17,2026,NSE Main Board,60.42,,,🟢 Trading Active
PNGS Reva Diamond Jewellery Limited,PNGSREVA.NS,2026-03-04,2026,NSE Main Board,574.2,,,🟢 Trading Active
POCL Enterprises Limited,POEL.NS,2026-08-17,2026,NSE Main Board,161.65,,,🟢 Trading Active
Pacific Industries Limited,PACIFICI.NS,2026-08-17,2026,NSE Main Board,138.99,,,🟢 Trading Active
Panchmahal Steel Limited,PANCHMAHQ.NS,2026-08-17,2026,NSE Main Board,286.85,,,🟢 Trading Active
Panorama Studios International Limited,PANORAMA.NS,2026-08-17,2026,NSE Main Board,46.41,,,🟢 Trading Active
Parnax Lab Limited,PARNAXLAB.NS,2026-08-17,2026,NSE Main Board,122.0,,,🟢 Trading Active
Paul Merchants Limited,PML.NS,2026-04-20,2026,NSE Main Board,504.9,,,🟢 Trading Active
Permanent Magnets Limited,PERMAGN.NS,2026-08-17,2026,NSE Main Board,804.75,,,🟢 Trading Active
Phoenix International Limited,PHOENXINTL.NS,2026-08-17,2026,NSE Main Board,30.17,,,🟢 Trading Active
Pioneer Investcorp Limited,PIONRINV.NS,2026-04-20,2026,NSE Main Board,80.47,,,🟢 Trading Active
Polyspin Exports Limited,POLYSPIN.NS,2026-08-17,2026,NSE Main Board,30.65,,,🟢 Trading Active
Powerica Limited,POWERICA.NS,2026-04-02,2026,NSE Main Board,560.65,,,🟢 Trading Active
Powerica Ltd.,POWERICA.NS,2026-04-02,2026,NSE Main Board,560.65,,,🟢 Trading Active
Pradeep Metals Limited,PRADPME.NS,2026-04-20,2026,NSE Main Board,524.0,,,🟢 Trading Active
Praveg Limited,PRAVEG.NS,2026-04-20,2026,NSE Main Board,252.95,,,🟢 Trading Active
Premco Global Limited,PREMCO.NS,2026-04-20,2026,NSE Main Board,375.65,,,🟢 Trading Active
Prismx Global Ventures Limited,PRISMX.NS,2026-08-17,2026,NSE Main Board,0.54,,,🟢 Trading Active
